         22091755 function calls (22085182 primitive calls) in 2610.721 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30 2590.339   86.345 2609.436   86.981 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:245(run_jl)
    20880    0.013    0.000    0.020    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:74(is_table)
       90    0.013    0.000    0.014    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\julia\core.py:544(_call)
     6960    0.013    0.000    3.888    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:121(expand_repeated_table_content)
     1609    0.013    0.000    0.013    0.000 C:\ANACONDA3\lib\site-packages\zmq\sugar\socket.py:480(send)
       30    0.013    0.000    0.013    0.000 C:\ANACONDA3\lib\json\decoder.py:343(raw_decode)
    41708    0.013    0.000    0.018    0.000 {built-in method builtins.isinstance}
     2400    0.013    0.000    0.013    0.000 {method 'timetuple' of 'datetime.datetime' objects}
      480    0.012    0.000    2.639    0.005 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:209(__init__)
     6960    0.012    0.000    0.211    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:35(expand_columns)
     6960    0.012    0.000    0.400    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:68(__init__)
     2400    0.012    0.000    0.026    0.000 C:\ANACONDA3\lib\zipfile.py:809(__init__)
     8584    0.012    0.000    0.019    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:570(bounds)
33653/33436    0.012    0.000    0.039    0.000 {built-in method builtins.iter}
     2072    0.012    0.000    0.047    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:975(_setitem_when_not_present)
       28    0.011    0.000    0.149    0.005 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:701(construct)
    16570    0.011    0.000    0.017    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:515(__getitem__)
     2400    0.011    0.000    0.012    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:32(set_media_type_and_version)
