         43964990 function calls (43955840 primitive calls) in 6508.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60 6455.162  107.586 6506.615  108.444 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:249(run_jl)
     2400    0.006    0.000    0.241    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:133(column)
    15824    0.006    0.000    0.028    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3895(<genexpr>)
       62    0.006    0.000    0.010    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    12434    0.006    0.000    0.034    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:495(<genexpr>)
     4805    0.006    0.000    0.012    0.000 C:\ANACONDA3\lib\zipfile.py:768(close)
     5760    0.006    0.000    0.006    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\styles.py:38(__init__)
     3762    0.006    0.000    0.025    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:495(setAttrNS)
     4805    0.006    0.000    0.169    0.000 C:\ANACONDA3\lib\zipfile.py:950(_update_crc)
    20124    0.006    0.000    0.006    0.000 {built-in method builtins.hasattr}
     3105    0.006    0.000    0.022    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:273(__getattr__)
    13920    0.005    0.000    0.005    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cellspancontroller.py:18(__init__)
     1920    0.005    0.000    0.009    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\variables.py:17(__init__)
    44108    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
     9084    0.005    0.000    0.006    0.000 {built-in method builtins.next}
      960    0.005    0.000    0.047    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\body.py:19(__init__)
     6018    0.005    0.000    0.018    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:458(ub)
     4800    0.005    0.000    0.077    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:28(get_file_entry_or_create_new)
    15156    0.005    0.000    0.016    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:149(has_lb)
     6018    0.005    0.000    0.018    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\var.py:445(lb)
      960    0.005    0.000    0.057    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\body.py:41(__init__)
     9607    0.005    0.000    0.005    0.000 C:\ANACONDA3\lib\zipfile.py:684(_check_compression)
     5202    0.005    0.000    0.005    0.000 {built-in method _codecs.charmap_encode}
      960    0.005    0.000    0.062    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\styles.py:20(__init__)
    12264    0.005    0.000    0.056    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1425(component_data_objects)
     9128    0.004    0.000    0.015    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:402(get_nsprefix)
     3105    0.004    0.000    0.010    0.000 C:\ANACONDA3\lib\site-packages\pyomo\opt\results\container.py:317(__getitem__)
        3    0.004    0.001 5719.686 1906.562 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt2.py:83(runACOPF)
     2641    0.004    0.000    0.007    0.000 C:\ANACONDA3\lib\site-packages\odf\load.py:105(endElementNS)
       33    0.004    0.000    0.646    0.020 <frozen importlib._bootstrap_external>:1029(get_data)
    19002    0.004    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:324(_lb)
     3762    0.004    0.000    0.011    0.000 C:\ANACONDA3\lib\site-packages\odf\attrconverters.py:1600(convert)
       72    0.004    0.000    0.004    0.000 {method 'close' of '_io.TextIOWrapper' objects}
     2710    0.004    0.000    0.009    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:509(getAttrNS)
    12036    0.004    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:572(<listcomp>)
    14415    0.004    0.000    0.004    0.000 C:\ANACONDA3\lib\zipfile.py:1527(<lambda>)
       95    0.004    0.000    0.006    0.000 {built-in method builtins.__build_class__}
    12714    0.004    0.000    0.015    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:154(has_ub)
      260    0.004    0.000    0.118    0.000 {built-in method builtins.print}
     4805    0.004    0.000    0.006    0.000 C:\ANACONDA3\lib\zipfile.py:1437(getinfo)
     4805    0.004    0.000    0.004    0.000 {function ZipExtFile.close at 0x000001ACDDF7CA60}
     1190    0.004    0.000    0.111    0.000 C:\ANACONDA3\lib\site-packages\colorama\ansitowin32.py:177(write_and_convert)
     1417    0.004    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\odf\attrconverters.py:202(cnv_StyleNameRef)
     2646    0.004    0.000    0.013    0.000 C:\ANACONDA3\lib\xml\sax\expatreader.py:372(end_element_ns)
     5009    0.004    0.000    0.013    0.000 C:\ANACONDA3\lib\abc.py:96(__instancecheck__)
     2636    0.004    0.000    0.028    0.000 C:\ANACONDA3\lib\site-packages\odf\element.py:420(addElement)
