         2290778 function calls (2285667 primitive calls) in 112.290 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      182    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\colorama\ansitowin32.py:245(convert_osc)
       37    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
       33    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:909(get_code)
     3336    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      192    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Decompress' objects}
      480    0.000    0.000    0.000    0.000 C:\ANACONDA3\lib\zipfile.py:1823(close)
      240    0.000    0.000    0.000    0.000 C:\ANACONDA3\lib\threading.py:81(RLock)
     1204    0.000    0.000    0.000    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:572(<listcomp>)
      699    0.000    0.000    0.000    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:22(set_maxcount)
      696    0.000    0.000    0.001    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:116(__init__)
       41    0.000    0.000    0.003    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3033(__init__)
  692/412    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\json\encoder.py:333(_iterencode_dict)
  270/161    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       48    0.000    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\content.py:29(_setup_references)
     1204    0.000    0.000    0.000    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:2481(ranges)
       48    0.000    0.000    0.002    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\styles.py:29(_setup)
      142    0.000    0.000    0.002    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:975(_setitem_when_not_present)
      156    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:2312(__init__)
      290    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\site-packages\pyomo\common\timing.py:57(__init__)
      199    0.000    0.000    0.000    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:1858(__new__)
      194    0.000    0.000    0.001    0.000 C:\ANACONDA3\lib\inspect.py:2489(__init__)
     1012    0.000    0.000    0.000    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:1250(dimen)
